"cluster","sample","Freq","freq"
"0","GSM7421871_S12_filtered_feature_bc_matrix",4,33.3333333333333
"1","GSM7421871_S12_filtered_feature_bc_matrix",1,8.33333333333333
"2","GSM7421871_S12_filtered_feature_bc_matrix",0,0
"3","GSM7421871_S12_filtered_feature_bc_matrix",5,41.6666666666667
"4","GSM7421871_S12_filtered_feature_bc_matrix",0,0
"5","GSM7421871_S12_filtered_feature_bc_matrix",1,8.33333333333333
"6","GSM7421871_S12_filtered_feature_bc_matrix",1,8.33333333333333
"7","GSM7421871_S12_filtered_feature_bc_matrix",0,0
"0","GSM8244372_S18_filtered_feature_bc_matrix",390,58.8235294117647
"1","GSM8244372_S18_filtered_feature_bc_matrix",20,3.01659125188537
"2","GSM8244372_S18_filtered_feature_bc_matrix",1,0.150829562594268
"3","GSM8244372_S18_filtered_feature_bc_matrix",201,30.316742081448
"4","GSM8244372_S18_filtered_feature_bc_matrix",0,0
"5","GSM8244372_S18_filtered_feature_bc_matrix",0,0
"6","GSM8244372_S18_filtered_feature_bc_matrix",0,0
"7","GSM8244372_S18_filtered_feature_bc_matrix",51,7.69230769230769
"0","GSM8244374_S20_filtered_feature_bc_matrix",4,1.21951219512195
"1","GSM8244374_S20_filtered_feature_bc_matrix",206,62.8048780487805
"2","GSM8244374_S20_filtered_feature_bc_matrix",2,0.609756097560976
"3","GSM8244374_S20_filtered_feature_bc_matrix",0,0
"4","GSM8244374_S20_filtered_feature_bc_matrix",0,0
"5","GSM8244374_S20_filtered_feature_bc_matrix",0,0
"6","GSM8244374_S20_filtered_feature_bc_matrix",113,34.4512195121951
"7","GSM8244374_S20_filtered_feature_bc_matrix",3,0.914634146341463
"0","GSM8244376_S22_filtered_feature_bc_matrix",1,0.465116279069767
"1","GSM8244376_S22_filtered_feature_bc_matrix",1,0.465116279069767
"2","GSM8244376_S22_filtered_feature_bc_matrix",2,0.930232558139535
"3","GSM8244376_S22_filtered_feature_bc_matrix",0,0
"4","GSM8244376_S22_filtered_feature_bc_matrix",155,72.0930232558139
"5","GSM8244376_S22_filtered_feature_bc_matrix",50,23.2558139534884
"6","GSM8244376_S22_filtered_feature_bc_matrix",0,0
"7","GSM8244376_S22_filtered_feature_bc_matrix",6,2.7906976744186
"0","GSM8244386_S32_filtered_feature_bc_matrix",3,0.842696629213483
"1","GSM8244386_S32_filtered_feature_bc_matrix",11,3.08988764044944
"2","GSM8244386_S32_filtered_feature_bc_matrix",225,63.2022471910112
"3","GSM8244386_S32_filtered_feature_bc_matrix",1,0.280898876404494
"4","GSM8244386_S32_filtered_feature_bc_matrix",27,7.58426966292135
"5","GSM8244386_S32_filtered_feature_bc_matrix",81,22.752808988764
"6","GSM8244386_S32_filtered_feature_bc_matrix",0,0
"7","GSM8244386_S32_filtered_feature_bc_matrix",8,2.24719101123596
